,Unnamed: 0,overall,reviewerID,asin,reviewerName,reviewText
29,29,5,ATHTCOG6BB6WK,0001713353,L. Williams,"So, you think you have problems? Things could be worse and this clever book can prove it. The king starts out with a problem. The mice are eating his cheese. The more he tries to fix the problem, the worse it gets. The king finally arranges to bring back the mice when he comes to the realization that his original dilemma  wasn't so intolerable after all. The solution requires cooperation from the king and the mice. It involves the cheese."
30,30,5,A3N7UC72L8TP0Z,0001713353,Nancy Thomas,We had this when I was growing up.  Great book about sharing.  I loved it then and I love it now.
31,31,5,A255PQDLPOCUXP,0001713353,Altbuttercup,"Thanks to Amazon's used seller network, I was able to get a copy of this, a childhood favourite. It's a hit with my 3 and 5 year old boys and in regluar rotation at bedtime. Lots to discuss, from ""it was a good idea at the time"" to table manners. :)"
32,32,5,A3NHMUQN8HAVAW,0001713353,Mumof4,My husband wanted this book to read to our 4 year old daughter ( who loves it).  He would read this to his oldest daughter who is 21 and she use to love it too.  Timeless book!!
33,33,5,A30FZZMVK0N6CA,0001713353,HarrisPap,"All 4 of my grandsons, ages 4,6,11,and 13,love to have me read this book to them."
34,34,5,A16KKR9J6JZELK,0001713353,Mina Gobler,"The King the Mice and the Cheese was one of my children's favorite books over 40 years ago. Now that my friends and I have grandchildren, I've been hunting down copies and sending this book as a gift. The book teaches a marvelous lesson in terms that young children can understand. A king's wonderful cheese attracts local mice who overrun the palace. Wise men bring in ever larger animals to chase away the animals who have only made matters worse. Finally, mice are brought in to chase out the elephants and king is back to where he started. The solution? Bring back the mice and make a pact with them to share the cheese. Last scene is one of the mice at little tables eating their cheese as the king is enjoying his cheese. I still love reading this book to children and highly recommend it!"
35,35,4,AJZL08SGSYBDD,0001713353,Lisa L. Doran,"THIS WAS ONE OF MY FAVORITE CHILDHOOD BOOKS, I HAD TO HAVE IT TO OWN!
RECOMMENDED READING FOR ALL AGES FOR A CHUCKLE!"
36,36,5,A3MA68F62DFNVU,0001713353,Cynthia R. Harp,"My mom bought this for my oldest son.  He and his younger brother loved it.  When the baby rolled around, so to speak, 9 years later, it became his favorite too.  No one, child or , well, old child, fails to be delighted by this story.  Oddly, they all seem to have the same favorite page, too (when the elephants are run out of town by the returning mice). This is a never-fail hit, and cheers everyone up as they face the prospect of the nap."
37,37,5,A1VU0P0OF9DRMT,0001713353,M. Lynch,"My mother first read this book to me when I was a child and I read it to my little brother later.  I bought a copy for myself as an adult and have had great fun sharing with all of the children in my life.  The story is a cautionary tale about the law of unintended consequences and the need to work out your differences. The best thing about the book is the hilarious illustrations.  My children, my husband and I would sit together, making the animal noises and enjoying every part of each picture. (My personal fav is the elephant grabbing the startled king while he talks to his wise men.)  A great book for your family!"
38,38,3,A294QSAEH1Z7YI,0001713353,BHGobuchul,"41 years later:

The cheese is government cheese.

The mice objected to the king's idea of good manners as species-centric, and rebelled.

The king blamed the peasants, and forbade them to keep cats or chase mice from their homes.

This made things worse. Peasants that could afford to do so moved as far away from mice as possible.

I can't wait for the next chapter."
39,39,5,AC4I57VYBGO8P,0001713353,TGM,"One of the best books I have ever read.  The message is deep wisdom that our government leaders and makers of US foreign policy would do well to internalize.

Your kids will like it too."
40,40,4,AKHVEPR68DGPN,0001713353,Tj Bacon,This was one of my favorite books since I was a kid. The pictures were funny and the story has two good lessons in it. People should try to figure out your own problems and don't judge a book by its cover. In this case the mice. The king learned to share his home and his cheese and that's the moral of this story. I would recommended this book to my friends if they where doing this project. It is a great learning experience for kids.
41,41,5,A189H5MS7ECVRX,0001713353,Gwen Coleman,This is a wonderful story and both my 5yo and my 3yo love it (and I like reading it too).  The King wants to get rid of the mice and his wise men keep coming up with progressivly worse solutions until the King is right back where he started -- and creative thinking saves the day!  Great illustrations.
42,42,5,A1RR8Q97PANN98,0001713353,SDSonn,Finally back in print.  What an awesome book.  Loved it as a kid and now one of my kids' favorites.  So happy I can now purchase for my niece.
43,43,5,A1SDAYRVRR62ZH,0001713353,M3 Pete,"To summarize the story, it's all about trying to deal with the problem you have in the first place (mice), rather than bringing in solutions that create even worse problems (cats, dogs, lions and elephants).

But since you will likely be reading it to your kids, the story is not all that important at first.  I had this as a boy and enjoyed the drawings, which gets a kid hooked on a book before anything else.  My two-year-old LOVES this book, and fills in the words every time we get to words like ""king"" ""mice"" ""cheese"" ""lion"", etc.  He really has no idea what the story teaches, but he loves to read it with me, and that's the key to a great kid's book."
44,44,5,A1IG9N5URR82EB,0001061240,avid reader,"I was given this book for my 8th birthday, in the year of its first publication. The Golden Treasury of Poetry was a constant companion; lost, alas, after ""growing up"" and making many life-moves. This year, 2009, 50 years after I first received this book, I recaptured it from a used book dealer in upstate NY, as a birthday present to myself for my 58th birthday. The book is my bridge back in time. A beloved collection of classics for children; don't let yours slip away!"
45,45,4,A3M1GRH7DAKG9H,0001061240,Louise Brokaw,"Before his baby daughter was born, my son paged wistfully through my copy of The Golden Treasury of Poetry.  I had received it from my parents for Christmas in 1961, the year I was 11 and had a weekly assignment to memorize a poem for class.  I had read and recited these wonderful poems to my children when they were little and I knew my son wanted to do the same with his daughter.  But there was no way I was giving up my book!  Amazon came to the rescue with numerous used copies for sale. Obviously a book that was printed over 40 years ago was not in perfect shape, but the description of an intact binding, some corner marks, and a few pen marks was accurate.  I gave it to my granddaughter the night she was born and my son was in tears.  Thank you for being a source of wonderful out-of-print books!"
46,46,5,A1H3A4VJG11WCT,0001061240,book worm,"...I loved the pictures and the poems, and began looking for it 14 years ago for my home.  Wish I'd looked at Amazon a while ago.  The illustrations stay in your mind forever - whimsical and beautiful.  The poems are second to none, and some, I have never found elsewhere.  I just about cried for joy today when I got my hands on MY VERY OWN copy.  Every house should have one!  This book is a true treasure!"
47,47,5,A2PXHROL8DBVGR,0001061240,Ruthann Rawlings,I fell in love with this book in my elementary library. I've paid enough late fines on it in the last 15 years to have bought the book several times over. It's here that I fell in love with Lady Clair and a million other  classics that have resurfaced over and over in my classes in grade school  and college. I want my own copy!
48,48,5,A3UOJT5NCIOS1U,0001061240,dtstroup@grove.net,I am 45; I grew up with this book as our family poetry book-I am no poet but gained magic from having this book on the upstairs shelves to read when I wanted to--my folks didn't push it. I know there are many others but this one let poetry into the life of a hard core boy. I would like to get it for my son.
49,49,5,A2CVLIZ9ELU88,0001061240,A.M.H.,I had this book as a child and loved it. The collection of poems is a broad and deep as I remembered
50,50,5,A2HI7JIZ1EKWRQ,0001061240,Amazon Customer,"One of my favorite books as a child, but got lost in the shuffle of growing up.  Was so happy to have been able to replace it with this excellent condition book."
51,51,5,A2LGACKSC0MALY,0001061240,Sharon Katz,"My aunt bought me this book in 1962 - I was ten years old. My younger sister and I read the poems and loved them all. We marked the book up by writing in it by trying to copy all the great illustrations in it. My dad, sister, and myself would read about Paul Revere's ride and The Common Cormorant and then talk about what we read. My father's favorite poem in it was The Children's Hour. When I was in my 30's I bought myself another copy of it. Both my sister and my dad have passed and this poetry book brings back all the memories that I shared with them. I'm 64 now and still remember the words to my favorite poems in this anthology. It will definitely make memories for any child who is lucky enough to get a copy."
52,52,5,A6EQG0P75KHJ,0001061240,Bookworm 93103,"I agree with another reviewer, that every home should have this book - partly for the poetry, and partly for the amazingly beautiful illustrations by Joan Walsh Anglund that accompany the poems.

This is a book that can be enjoyed by people of any age. It is a wonderful introduction to poetry for children, yet it is not a silly children's book. It is a book full of some of the most beautiful and captivating poetry in the English language.

I grew up with this book, and learned to love literature and poetry, and the magical world between the covers of a book. Oh! What flights of imagination I went on, reading this lovely book.

When I got married, my husband quoted ""Lochinvar"" from memory, substituting his own name for the last word in the Lochinvar poem! I was so surprised, and everyone cracked up laughing. The reason I knew this poem by Sir Walter Scott was because of this book.

""Tiger, Tiger, burning bright, in the forests of the night ..."" - ""The Highwayman came riding, riding, riding ..."" The Fish - ""... And I let the fish go."" Kentucky Belle. The Battle of Bunker Hill. Wynken, Blynken and Nod. Short, funny poems by Ogden Nash. The Blind Men and the Elephant. Abou Ben Adhem - may his tribe increase! So many wonderful poems are in this book.

My old book had fallen apart. I work at a school where bookbinding classes were taught. I brought my book in, and got it fixed.

Now, just last week, although I never got to have children myself, life has given me the amazing gift of two little great granddaughters, ages five and eight. What better gift for them than this book, where they will be able to be enchanted by poetry as I was, to grow with it, and they can read the poem that great-grandpa recited by heart after he got married for the second time, way back before they were born.

I am so grateful to see this book on Amazon. Thank you!"
53,53,5,A2RL015TSMQLRV,0001061240,Judith L.,Louis Untermeyer was a family friend. I grew up with this book and raised my children on the treasures within it. Now it is my grandchildren' turn!
54,54,5,A3LQW5GZSXDXAG,0001061240,Amazon Customer,"I have always liked this book. When my children were young, I read to them and wanted another copy to share with students."
55,55,5,A3O9Q65T1EJYO8,0001061240,Sandy Burner,Book from my childhood I had lost.  Love it and will enjoy having it for my grandchildren.
56,56,5,A1TJ6TAESKL56O,0001061240,E. Guerin,"I've been trying to find this book for a long time. It was a childhood favorite. Although reading it again as an adult does not hold quite the same ""magic,"" it is still quite a good collection. The illustrations are gorgeous. So, so very glad to have found this book again. One of the biggest reasons I love poetry so much now is because I read this book. You can probably enjoy reading it on your own, but if you have a child (or children) to read it to, they will probably love it as well."
57,57,5,A364VBQMMXKX1Q,0001061240,Philip and Melissa Knight-Fitzgerald,This was a wonderful book so I got it as a gift for my niece. It's a very thick book full of different poems on many topics. You will be able to find many that you love.
58,58,2,A3ZG0U3FOF3T1,0001061240,P. Howell,"Looking for a Louis Untermeyer book  from the 1980s and this was not the one,"
59,59,5,A3BE4WPPAOK191,0001061240,Jeanette K. Sleight,I love this book!  Giving this copy to my grand daughter!
60,60,5,A199XJR9ZO0EQ8,0001061240,csmith,"Love, love this book! I am so grateful for it, we've spent many moments bonding while reading these poems, I think this version might be better than the newer one."
61,61,5,AZT95BSNACPRR,0001061240,Cynthia Westervelt,Lifetime FAVORITE!
62,62,4,A3PF93B41F9IDL,0001061240,Bev Weber,Its lovely just what my husband was looking for and how he had remembered it
63,63,5,AOSS6RJIPV8WS,0001061240,J. Voorheis,"I don't know that I can truly explain why I like this book so much. Started reading it to my son and daughter in approx 1960. They loved it and so did I like reading it to them. The Book contains a wonderful collection of poetry of many topics and styles, appealing to from toddlers to adults! I think it is a great family book. Had two more children when the first two were in Middle School. They liked it just as much and now I have given it to their children! Our youngest grandchild wouldn't let her father stop reading it to her in the evening and then demanded permission to take the book to bed. She is only 22 months old.
Somewhere along the line in moving around the book was lost. I just bought it for my husband and me. Love it. Thank you Louis Untermeyer for this collection!"
64,64,5,A2QL1VNS6O65IK,0001061240,S. Williams,This book is one that I received as a gift when I was in my teens and loved it.  I read it to my children growing up and wanted to have the opportunity to share it with my grandchildren but found it was out of print for many years.  Fortunately it is such a classic that the original owners have retained it in good condition realizing that this is a book to be shared.  I have been able to locate a total of two books to give to each of the families of my children. It is a cherished part of a family tradition.
65,65,5,A1PZIHJAT8TG3W,0001061240,seagypsy,"The poetry and illustrations are splendid.  Although the book seems directed at children, adults will be inspired as well. It is one of those books that would stay in the family for generations.  ""Golden Treasury"" is the right name for it!  My dad gave me this book when I was about eight.-- this was in the seventies.  It inspired me to write poetry and I won a poetry contest in school because of it.  Somehow the collection reminds me of a better time, when people valued good things and were more sweet and innocent."
66,66,5,AYIPHN7Q2TBM3,0001061240,C. Reynolds,"I grew up with this poetry book.  I loved it then, I love it now.  Too bad it is out of print."
67,67,5,A31QP3G4FS2A90,0001061240,Jo Barnes,"I rated this a five because it's the first book I used to introduce my-now 45 year old-son to poetry.  Custard the Magic Dragon was read over and over and he still remembers it to this day.  It's a charming mix of poetry, rhymes and stories in verse.  You'll treasure it for your children-and for yourself. If you can find a copy, get one and enjoy all it has to offer with your kids or by yourself."
68,68,5,A3MMEIRXMH6QU3,0001061240,Nancy Freedman,"A must for every home, with or without children. Delightful! Each and every poem is a classic treasure. Wonderful to read out loud."
69,69,5,A2C81B811FA56V,0001061240,Helen D. Setterfield,"One of my daughters, growing up, also loved this book, which I had had when I was a teenager.  Because she was a bit careless, the cover was destroyed.  It is so great to have a good copy again of this lovely collection which I can now read to my grandchildren.  The Anglund illustrations are, of course, delightful, and many of the selections simply cannot be found anymore, of either the poems or the illustrations.  A priceless book."
70,70,5,A3QYDL5CDNYN66,0001061240,Verita,"This was a favorite. I think it changed my life when I was just a child. I became a poetry lover and am one still. Simple, beautiful poems appropriate for children but not childish at all. Whitman, Hopkins, many famous poets included here. All these years later I can still remember lines from it. Genevieve Taggard's Millions of Strawberries came to me while I was eating strawberries a friend gave me. Although I could not remember the title, thanks to the wonders of the internet, I searched for the lines I remember and found the text. Then, I went to the bookshelf (I still have the book) and read it and many others. Fond, fond memories."
71,71,5,A2A4SCGVEDWOX9,0001061240,M. Fieleke,"This is a favorite childhood book of mine.  I hunted it down after getting married in hopes of reading it to my children someday.  It's filled with wonderful classic poems.

It has some funny, witty poems but it doesn't have many of the ""silly"" slapstick style poems that are so common in kids poetry to day.  While some may see that as a liability, I think it's a great thing to expose kiddos to good literature from a young age.  If all kids digest is junk food, they will get fat.  If all they read is silly, slapstick poetry they will have a harder time appreciating classic stuff later on."
72,72,5,AHJZLIXZUDSTD,0001061240,Cynthia Cross,This was a favorite childhood book and I purchased it for my grandchildren.  It arrived in a timely manner and is in excellent condition.  Thank you!
73,73,5,A35NBIN3NJK75S,0001061240,Winter,"I fondly recall this collection of some of the world's best loved poetry. I've not read it in forty years, yet I can still recite passages word for word.

I remember pouring over the poems, asking my mother what certain things meant, they disappearing to read some more. Lady Clair haunted my imagination, as did bold Lochenvar. And who wouldn't laugh at the little girl with the curl, right in the middle of her forehead? To this day I have a copy of Lone Dog by Irene Rutherford Mcleod hanging in my work cube, lovingly handwritten by my grandaughter, who now has the book and loves it like I did.

My all time favorite poem, I must admit, is the The Hiwayman, by Alfred Noyes. I'm about to publish my eighth romance novel, and if I retrace my literary steps, I'll find an eleven-year-old girl sighing over the tragically doomed lovers.

Though years have passed, this volume stands the test of time."
74,74,5,A2RJ8F39GFP9G9,0001061240,Ann L. Sims,"This volume is a memory from my childhood, filled with lovely poems that my father read to me before bed.  I've been looking for it for 10 years.  Now I will read it to my grand-daughters."
75,75,5,A2I3SX01TVDJJB,0001061240,Aaron White,"This book was given to my mom when she was 13 from her sister. She used to draw from the illustrations inside. When I was about 10, she let me start drawing from it. I absolutely love it! I have used it over the years to draw from, and now I teach art, and my students draw from these beautiful pen and ink illustrations. The book is lovely and full of wonderful poems and collections. And although the poetry is wonderful, I have to say the illustrations are my favorite ever. This is a classic you don't want to pass up!"
76,76,5,A1VT3VPFRB050F,0001061240,Debra Brodersen,It's a flash back to the past.  I loved this book of poetry when I was in high school.  This book was in pristine condition.
77,77,5,A3OBWYOJXB2K96,0001061240,Amazon Customer,"I have had this book since childhood and can still recite many of the poems.  It was a book that was read nearly daily in our home.  The illustrations are wonderful, linear drawings that any child or adult will love.  I remember putting tracing paper over them to reproduce them when I was a child.  This is a book to be shared with children and grandchildren.  I am buying a copy for my new grandson to enjoy.  I hope he will enjoy ""The Raggedy Man"" and ""Poor Old Lady"" as much as I did and my own children did.  My old copy is in bad shape and the binding is coming unglued,it has been loved alot."
78,78,5,A20J9UEYG47LZL,0001061240,W. Richter,My mother used to read me several of the poems from this book in the early 1970's. Now I have a chance to do the same for my daughter. I was glad to find an older copy on Amazon that was in fairly good shape.
79,79,5,A1RJTUTL6AOBEW,0001932349,Amazon Customer,"it's a wonderful book that everyone has to read and discover because of it's sincere words that have an amazing meaning ,it makes us see and feel love in many things,a flower for example."
80,80,5,AG5WO5CYX6C2R,0001932349,susan clare knight,"I love this little book which is wonderful to give as a gift to both adults and children. I already have my own copy but I wanted another to give one as a gift because it expresses in just a few, simple, touching words the way in which we would all like to be cherished,but probably never have been. It always makes me cry. I call it the agnostic's bible!

Clare."
81,81,5,A1JEI4W0IBQ6OA,0001932349,Louise Ross,"I've had this little book for quite some time, and wanted to give a copy of it to my 9 year old granddaughter, whom I have read it too.  She writes poetry and short stories, and draws pictures to go along with her stories.  She always looks at it when she comes to visit, and it has inspired her to write some very sweet stories.

I was very, very pleased to find a copy on amazon.

Thank you,"
82,82,5,A1Q0WD0JBF9VE0,0001932349,Pat Wallace,"This book is dear and sweet, and the cover illustration and colors are simply beautiful.  A win-win reading for children (and adults too)."
83,83,5,ARTMVRZR549T6,0001932349,Laura Bies,A sweet little book I got my mom for valentines day. She used to read it to me. Got the book fast and exactly as described. Perfect. Thank you.
84,84,5,A1X9NB8F3KHOU5,0001932349,V. Nix,"This book is so simple and beautiful and sweet, it's a must have for any child.  I was given it at four years old and it still has great meaning for me.  It's a keeper."
85,85,5,A2NG0O7JGLBGUP,0001932349,lizz,This book is just wonderful.  A must have for any child.  I have never loved a book as much.
86,86,5,AJBJJM3W11QLL,0001932349,Amazon Customer,"i think that i've read this book more than a thousand times! and i'm sure that if i had to read it another time,i'll do it again!
at the end we discover that we're still looking to things of life just like the way we used to once we were children!
waw! just read it,you won't regret it!
i will be so pleased to share my thoughts with someone who read it...and i will be more than pleased if i knew that i could have another from this author!"
87,87,4,A2NJO6YE954DBH,0001712799,Lawrance Bernabo,"""Great Day for Up"" is a unique Dr. Seuss book and you can tell this just by looking at the cover.  That is because while the book is written by Dr. Seuss it features the jolly drawings of the English artist Quentin Blake.  Until this point every time I have read a book written by Dr. Seuss it was also illustrated by Dr. Seuss and when somebody else did the drawings Dr. Seuss used the name Theo. LeSieg (which is ""Geisel"" backwards).  So the fact that this is a real ""Dr. Seuss"" book drawn by somebody else is pretty special.
This Bright and Early Book provides rhymed text and illustrations introducing the many meanings of the word ""up"" as Seuss and Blake show beginning readers that this is a ""Great day for up!""  You get the point half way through the book but little kids should be able to hand on longer, especially when they are reading the book for themselves.  Besides, by the end of ""Great Day for Up"" we get to the point where ""EVERYONE on Earth is up!"" (with one very important and rather ironic exception).
As with all of the Bright and Early Books for Beginning Beginners what you have here is a brief and funny story, where the words are few and easy, there is a catchy rhythm, and the pictures are happy and colorful clues to the text.  These are designed for an even lower age group than the Bright and Early Books that followed ""The Cat in the Hat,"" which was the ""Harry Potter"" of its day when it came to encouraging even pre-schoolers to discover the delights of reading for themselves.  This is not one of the most interesting volumes in the series, but overall these books were a delight."
88,88,4,A1U1EY5QFJULO5,0001712799,Rachel,"Ya, ya, ya so this book teaches about the meanings of the word ""up"".  But, to me that takes a backseat to the fun rhythm and rhymes that make a child WANT to be able to read the book by themselves.  The small vocabulary, phonetically spelled words and visual clues are wonderful for early readers.  My step-son enjoys reading this book together at bedtime and can actually read it to US now.  I love the ""bright and early"" books from Dr. Seuss for building early reading skills."
89,89,3,AJ8AQG2X9JJ2Y,0001712799,Donald Gillies,"Dr. Seuss has some really brilliant books.  This book is just a so-so Dr. Seuss.  As a parent who is familiar with about 15 Dr. Seuss books, this is one of my least favorite books.
The book attempts to teach the child what ""Up"" means.  There is a terrific amount of repetition, and the cleverness in the rhyming and pictures is not ""Up!"" to par with other Dr. Seuss books.
My 6-month old children are too young to understand this book, but I think that Mommy and Daddy will tire of the book long before they have gotten the very simple and trivial message in this book : what is the difference between Up and Down ..."
90,90,5,A1K1JW1C5CUSUZ,0001712799,Donald Mitchell,"Children are normally confused by the multiplicity of meanings that a simple word can have when they start reading.  Dr. Seuss has written a book here to can allow you to help your child understand that problem by looking at what ""up"" can mean in different contexts.  The beautiful watercolor and inked outline illustrations by Quentin Blake provide great context for these meanings.
""Up! Up!  The sun is getting up.
The sun gets up
so UP with you!""
Thus, this book begins.  You can see that Dr. Seuss has already connected the idea of the sun rising above the horizon in the east with your rising from your bed.  The book goes on to explore all the things that can rise.  These includes ears on a rabbit, hands, whiskers, and eyes.
Once he goes into eyes, he then points out that many living creatures have eyes (including worms, frogs, butterflies, whales, and insects).
Then, Dr. Seuss returns to ""up"" and gives new meanings.  These include taking something from a lower position to a higher one (like putting your feet up by walking on your hands), throwing things into the air (like balls), guiding things into the air (like kites), climbing (like going up a mountain -- Mt. Dill-ma-dilts in this case), and building mechanisms that can go up (like an elevator or a ferris wheel).
Then, he returns ingeniously to the original concept of arising from bed:
""Wake ever person,
pig and pup,
till EVERYONE
on Earth is up!""
Then comes the surprise ending that will keep you and your child chuckling for years.
At first, you may just think the ending is there simply for humor, but it actually extends your child's understanding of what saying ""up"" means in terms of cause and effect.
The book has all of the qualities I look for in an early reader.  The language is simple.  There is a limited vocabulary of short words.  The illustrations tie in clearly to the words.  The story is interesting, humorous, and upbeat.  A child can learn to recognize the key word, up, in just a few readings.
After your child has mastered this wonderful story, I suggest that you encourage your child to use this book to identify synonyms for ""up"" which will extend the value of the book.  For example, you can use ""arise"" or ""rise"" in many of the contexts.  Then you can discuss how a speaker or a writer chooses which word version of a concept to use.
May all of your child's learning experiences be UP to the ones available in this book!"
91,91,5,A1VZNYOMRMYAJ4,0001712799,Mary Ann D,Lovely book and in excellent condition.
92,92,5,AOXBDUX0VYAVV,0001712799,C. Marie,It arrived on time and in listed description.
93,93,5,AMVHPY79SSM6I,0001712799,Jac,"Perfect! Grandparents Read to Classroom Day went without a hitch, and this book was a hit!  Bought two so I could leave one for the classroom."
94,94,5,A1UFGV0WEC7VW0,0001712799,LiveOutLoud ,"""U"" is for UP! Great book"
95,95,5,A1F44BF23GYH37,0001712799,Connie,I bought this book to add to my daughter collection of books for her nursery.
96,96,5,A26HG915RCZC08,0001712799,Rose from Chicago,Love Dr. Seuss
97,97,1,A2M08SO0PJKPAV,0001712799,Emily,"Completly boring!!! Yes it's a childerns book that they will be able to read beacuse 60% of the book is the word Up.
This one never gets picked for story time just sits on the shelf.
We love Dr Seuss books but this one is disappointing."
98,98,5,ACDGSWXN3NKSR,0001712799,Amazon Customer,my sister and I grew up with this book. Now I can pass the memory on to my son.
99,99,5,A17IX3E12FRWXZ,0001712799,mystery reader,"After so many years. I remember this book. Guess I am not  a ""green eggs "" and ham or cat in he hat kinda person"
100,100,5,ATY6HODKD5DYU,0001712799,Nancy Cruz,"A delightful first time reader book, with delightful photos and repetition."
101,101,5,A25OZYI8MK3953,0001712799,Kindle second customer,Another generation with this story of Dr. Seuss.
102,102,5,A3VLU135Y2SVYJ,0001712799,thaz,Good book and has my 1year old loves it since her favorite word is up.
